rank,school_district_geoid,school_district_name,school_district_type,county,beds_code,ida_names,num_projects,unique_beneficiaries,total_school_exemption,total_school_pilot_due,total_school_pilot_made,total_school_revenue_lost,annual_school_revenue_lost,pilot_shortfall,total_levy,enrollment,per_pupil_spending,total_budget,true_value_rate,exemption_pct_of_levy,per_pupil_impact,annual_per_pupil_impact,pct_per_pupil_spending,num_donor_beneficiaries,total_donated_from_district,donor_rate,top_beneficiary,top_beneficiary_loss,top_beneficiary_donated,earliest_project,latest_project,st3_matched,flag_high_impact,flag_high_per_pupil,flag_donor_connected,headline
78,3617910,Lynbrook Union Free School District,unified,059,280220,Hempstead Industrial Development Agency|Nassau County Industrial Development Agency,64,11,15463673.21,10476522.85,10490089.65,5070300.69,5070300.69,0.0,73088192.0,2728.0,35513.75,96881523.0,0.0,6.9372,1858.61,1858.61,5.2335,5,48668.33,45.45,LYNBROOK THEATRE GROUP,1491204.4,0.0,01/21/2021,11/21/2019,Yes,Yes,Yes,Yes,"Lynbrook Union Free School District lost $5,070,301 in school property taxes because 64 IDA project(s) received exemptions. The largest beneficiary accounts for $1,491,204."
79,3615780,Brookhaven-Comsewogue Union Free School District,unified,103,580203,Brookhaven Industrial Development Agency,16,3,5113212.0,270249.0,270249.0,4842963.0,4842963.0,0.0,60610658.0,3445.0,29642.16,102117258.0,0.0,7.9903,1405.79,1405.79,4.7426,2,23810.0,66.67,GS AA VISTAS,3307401.0,0.0,02/18/2015,10/25/2017,Yes,Yes,Yes,Yes,"Brookhaven-Comsewogue Union Free School District lost $4,842,963 in school property taxes because 16 IDA project(s) received exemptions. The largest beneficiary accounts for $3,307,401."
80,3631800,Wyandanch Union Free School District,unified,103,580109,Babylon Industrial Development Agency|Suffolk County Industrial Development Agency,136,25,11103201.57,6422007.25,6489625.63,4795605.62,4795605.62,4170.65,23105027.0,2900.0,30406.28,88178217.0,0.0,20.7557,1653.66,1653.66,5.4385,7,798264.6,28.0,WR COMMUNITES E,1025319.84,0.0,01/09/2019,12/17/2017,Yes,Yes,Yes,Yes,"Wyandanch Union Free School District lost $4,795,606 in school property taxes because 136 IDA project(s) received exemptions. The largest beneficiary accounts for $1,025,320."
81,3617380,Lindenhurst Union Free School District,unified,103,580104,Babylon Industrial Development Agency,59,9,9289741.0,4720765.92,4689001.77,4791796.13,4791796.13,31764.15,107823001.0,5629.0,31557.79,177638786.0,0.0,4.4441,851.27,851.27,2.6975,4,22150.0,44.44,75 E HOFFMAN LH,2345959.7,0.0,01/13/2015,12/11/2018,Yes,No,Yes,Yes,"Lindenhurst Union Free School District lost $4,791,796 in school property taxes because 59 IDA project(s) received exemptions. The largest beneficiary accounts for $2,345,960."
82,3629640,Victor Central School District,unified,069,431701,Monroe Industrial Development Agency|Ontario County Industrial Development Agency,234,40,9244767.43,4584473.33,4577162.03,4667605.4,4667605.4,9311.3,55045566.0,4129.0,21602.93,89198479.0,0.0,8.4795,1130.44,1130.44,5.2328,9,1444215.16,22.5,RAINALDI REAL ESTATE,752428.92,3000.0,02/01/2024,12/17/2012,Yes,Yes,Yes,Yes,"Victor Central School District lost $4,667,605 in school property taxes because 234 IDA project(s) received exemptions. The largest beneficiary accounts for $752,429. That company donated $3,000 to political campaigns while receiving the exemption."
83,3619230,Longwood Central School District,unified,103,580212,Brookhaven Industrial Development Agency|Riverhead Industrial Development Agency|Suffolk County Industrial Development Agency,87,19,10182962.0,5704007.0,5704007.0,4586353.0,4586353.0,0.0,155055333.0,9622.0,28164.62,271000000.0,0.0,2.9579,476.65,476.65,1.6924,5,18166.48,26.32,SHI III CORAM,803727.0,560.0,01/08/2020,12/20/2004,Yes,No,No,Yes,"Longwood Central School District lost $4,586,353 in school property taxes because 87 IDA project(s) received exemptions. The largest beneficiary accounts for $803,727. That company donated $560 to political campaigns while receiving the exemption."
84,3608490,Coxsackie-Athens Central School District,unified,039,190501,Greene County Industrial Development Agency,42,7,13153907.0,8685746.0,8685746.0,4472178.0,4472178.0,0.0,19248778.0,1188.0,29217.82,34710768.0,0.0,23.2336,3764.46,3764.46,12.8841,2,290020.0,28.57,FERGUSON ENTERPRISES,3776513.0,1170.0,01/16/2014,12/31/2008,Yes,Yes,Yes,Yes,"Coxsackie-Athens Central School District lost $4,472,178 in school property taxes because 42 IDA project(s) received exemptions. The largest beneficiary accounts for $3,776,513. That company donated $1,170 to political campaigns while receiving the exemption."
85,3607980,Cohoes City School District,unified,001,010500,Allegany Industrial Development Agency|Chenango Industrial Development Agency|Cohoes Industrial Development Agency,89,13,6279075.43,1811605.41,1811604.91,4467470.52,4467470.52,0.5,16911647.0,1975.0,23797.73,47000525.0,0.0,26.4165,2262.01,2262.01,9.5052,3,2993.4,23.08,HARMONY MILLS FALLSFIEW,1230538.81,0.0,01/07/2004,12/28/2009,Yes,Yes,Yes,No,"Cohoes City School District lost $4,467,471 in school property taxes because 89 IDA project(s) received exemptions. The largest beneficiary accounts for $1,230,539."
86,3621510,Oakfield-Alabama Central School District,unified,037,181101,Genesee County Industrial Development Agency,21,4,9074026.4,5314272.0,5314272.0,4368636.95,4368636.95,51631.0,5476527.0,763.0,30916.91,23589606.0,0.0,79.7702,5725.61,5725.61,18.5193,2,28500.0,50.0,PLUG POWER,3844082.0,19700.0,01/23/2007,10/06/2022,Yes,Yes,Yes,Yes,"Oakfield-Alabama Central School District lost $4,368,637 in school property taxes because 21 IDA project(s) received exemptions. The largest beneficiary accounts for $3,844,082. That company donated $19,700 to political campaigns while receiving the exemption."
87,3612180,Glen Cove City School District,unified,059,280100,Glen Cove Industrial Development Agency,47,7,10699942.0,6386139.77,6386139.77,4342948.23,4342948.23,0.0,73402867.0,3125.0,32621.65,101942671.0,0.0,5.9166,1389.74,1389.74,4.2602,1,3350.0,14.29,MICHAEL S PUNTILLO DEVELOPMENT COMPANY,1648613.08,0.0,07/29/2021,12/27/2013,Yes,Yes,Yes,No,"Glen Cove City School District lost $4,342,948 in school property taxes because 47 IDA project(s) received exemptions. The largest beneficiary accounts for $1,648,613."
88,3610560,Elmira City School District,unified,015,070600,Chemung Industrial Development Agency,189,31,5787983.99,1448712.93,1448712.63,4339320.86,4339320.86,0.3,34849948.0,5936.0,23322.14,138440248.0,0.0,12.4514,731.02,731.02,3.1344,4,118604.0,12.9,CLEMENS CENTER LANDLORD,1318991.72,0.0,02/06/2017,12/16/2016,Yes,Yes,Yes,Yes,"Elmira City School District lost $4,339,321 in school property taxes because 189 IDA project(s) received exemptions. The largest beneficiary accounts for $1,318,992."
89,3629460,Valley Stream Union Free School District 24,elementary,059,280213,Hempstead Industrial Development Agency,17,6,7317454.0,2985659.0,2994026.71,4323427.29,4323427.29,0.0,38567512.0,1900.0,30813.2,58545088.0,0.0,11.21,2275.49,2275.49,7.3848,2,13400.0,33.33,COURTNEY BURKETT,2967891.0,0.0,03/27/2014,10/24/2023,Yes,Yes,Yes,Yes,"Valley Stream Union Free School District 24 lost $4,323,427 in school property taxes because 17 IDA project(s) received exemptions. The largest beneficiary accounts for $2,967,891."
90,3611970,Geneva City School District,unified,069,430700,Geneva Industrial Development Agency|Ontario County Industrial Development Agency,50,10,5329886.78,1257289.3,1050214.93,4279671.85,4279671.85,207074.37,21497411.0,2166.0,29516.74,63933249.0,0.0,19.9078,1975.84,1975.84,6.694,5,78752.7,50.0,RAMADA INN,1605368.24,100.0,01/01/1996,12/28/2021,Yes,Yes,Yes,Yes,"Geneva City School District lost $4,279,672 in school property taxes because 50 IDA project(s) received exemptions. The largest beneficiary accounts for $1,605,368. That company donated $100 to political campaigns while receiving the exemption."
91,3626840,Shoreham-Wading River Central School District,unified,103,580601,Brookhaven Industrial Development Agency,26,5,18402963.0,14732454.0,14732454.0,4265810.0,4265810.0,0.0,56569724.0,2008.0,41335.71,83002107.0,0.0,7.5408,2124.41,2124.41,5.1394,0,0.0,0.0,DUKE ENERGY RENEWABLES SOLAR,1818208.0,0.0,07/17/2024,10/25/2017,Yes,Yes,Yes,No,"Shoreham-Wading River Central School District lost $4,265,810 in school property taxes because 26 IDA project(s) received exemptions. The largest beneficiary accounts for $1,818,208."
92,3611670,Frontier Central School District,unified,029,141604,Hamburg Industrial Development Agency,121,22,9024588.48,4838919.03,4838918.43,4185846.31,4185846.31,1.0,44808332.0,4700.0,20567.73,96668323.0,0.0,9.3417,890.61,890.61,4.3301,7,35806.0,31.82,JDC HAMBURG,1840542.98,0.0,04/18/2017,12/28/2012,Yes,Yes,Yes,Yes,"Frontier Central School District lost $4,185,846 in school property taxes because 121 IDA project(s) received exemptions. The largest beneficiary accounts for $1,840,543."
93,3608130,Commack Union Free School District,unified,103,580410,Suffolk County Industrial Development Agency,68,13,14632326.21,10485187.33,10485187.33,4147138.88,4147138.88,0.0,149681444.0,5467.0,39262.0,214645327.0,0.0,2.7706,758.58,758.58,1.9321,3,21984.8,23.08,STEEL FOREST,1042581.67,16500.0,02/22/2018,12/18/2014,Yes,No,Yes,Yes,"Commack Union Free School District lost $4,147,139 in school property taxes because 68 IDA project(s) received exemptions. The largest beneficiary accounts for $1,042,582. That company donated $16,500 to political campaigns while receiving the exemption."
94,3611700,Fulton City School District,unified,075,460500,Oswego County Industrial Development Agency,89,14,7198837.0,3527957.0,3066679.0,4132158.0,4132158.0,461278.0,22045571.0,3194.0,24774.26,79129000.0,0.0,18.7437,1293.73,1293.73,5.2221,7,81901.29,50.0,SUNOCO,1993995.0,25800.0,01/18/2019,11/24/1997,Yes,Yes,Yes,Yes,"Fulton City School District lost $4,132,158 in school property taxes because 89 IDA project(s) received exemptions. The largest beneficiary accounts for $1,993,995. That company donated $25,800 to political campaigns while receiving the exemption."
95,3625350,Sachem Central School District,unified,103,580205,Brookhaven Industrial Development Agency|Islip Industrial Development Agency|Suffolk County Industrial Development Agency,142,29,9363628.95,5251364.02,5251364.02,4112264.93,4112264.93,0.0,203636064.0,11569.0,30253.19,349999182.0,0.0,2.0194,355.46,355.46,1.1749,7,134943.3,24.14,EXCEL HOLDINGS 3,1440134.0,0.0,01/11/2017,12/17/2015,Yes,No,No,Yes,"Sachem Central School District lost $4,112,265 in school property taxes because 142 IDA project(s) received exemptions. The largest beneficiary accounts for $1,440,134."
96,3608400,Corning City School District,unified,101,571000,Chemung Industrial Development Agency|Steuben County Industrial Development Agency,152,25,9514706.07,5481343.26,5481343.26,4085902.38,4085902.38,0.0,56252766.0,4363.0,28156.06,122844885.0,0.0,7.2635,936.49,936.49,3.3261,5,197728.0,20.0,RM14 HOLDINGS,996824.51,0.0,01/15/2015,12/13/2018,Yes,Yes,Yes,Yes,"Corning City School District lost $4,085,902 in school property taxes because 152 IDA project(s) received exemptions. The largest beneficiary accounts for $996,825."
97,3630660,West Hempstead Union Free School District,unified,059,280227,Hempstead Industrial Development Agency,11,3,6551723.0,2559253.0,2559253.0,3992470.0,3992470.0,0.0,48831177.0,1625.0,43933.54,71392000.0,0.0,8.1761,2456.9,2456.9,5.5923,0,0.0,0.0,UBS REALTY INVESTORS,2197681.0,0.0,01/23/2014,10/21/2021,Yes,Yes,Yes,No,"West Hempstead Union Free School District lost $3,992,470 in school property taxes because 11 IDA project(s) received exemptions. The largest beneficiary accounts for $2,197,681."
98,3612630,Greece Central School District,unified,055,260501,Monroe Industrial Development Agency,147,33,14670671.15,10995471.56,10995471.56,3731933.59,3731933.59,0.0,120121854.0,10041.0,26470.04,265785670.0,0.0,3.1068,371.67,371.67,1.4041,4,27213.1,12.12,COLUMBIA WEGMAN GREECE,619834.18,0.0,01/16/2007,12/20/2011,Yes,No,No,Yes,"Greece Central School District lost $3,731,934 in school property taxes because 147 IDA project(s) received exemptions. The largest beneficiary accounts for $619,834."
99,3611880,Gates-Chili Central School District,unified,055,260401,Monroe Industrial Development Agency,114,31,7660161.11,3930132.07,3930132.37,3730028.74,3730028.74,0.0,58213112.0,3650.0,33517.1,122337409.0,0.0,6.4075,1021.93,1021.93,3.049,5,102171.0,16.13,TECH PARK OWNER,2066739.5,0.0,01/19/2021,12/19/2006,Yes,Yes,Yes,Yes,"Gates-Chili Central School District lost $3,730,029 in school property taxes because 114 IDA project(s) received exemptions. The largest beneficiary accounts for $2,066,739."
100,3619320,Middletown City School District,unified,071,441000,Middletown Industrial Development Agency|Orange County Industrial Development Agency|Wallkill Industrial Development Agency,73,12,5543304.55,1927490.29,1927498.62,3653227.81,3653227.81,0.3,72404150.0,7529.0,30368.14,228641730.0,0.0,5.0456,485.22,485.22,1.5978,4,3400.0,33.33,SML GROUP ENTERPRISES,1187563.77,0.0,01/15/2015,12/14/2011,Yes,Yes,No,No,"Middletown City School District lost $3,653,228 in school property taxes because 73 IDA project(s) received exemptions. The largest beneficiary accounts for $1,187,564."
101,3620850,Niagara-Wheatfield Central School District,unified,063,400701,Niagara County Industrial Development Agency|Niagara Town Industrial Development Agency,280,61,7813465.0,4236711.0,4222743.0,3619703.0,3619703.0,27575.0,35411457.0,3350.0,23828.7,79826137.0,0.0,10.2218,1080.51,1080.51,4.5345,21,225707.04,34.43,BYRON DELUKE,636924.0,3200.0,02/09/2016,12/26/2012,Yes,Yes,Yes,Yes,"Niagara-Wheatfield Central School District lost $3,619,703 in school property taxes because 280 IDA project(s) received exemptions. The largest beneficiary accounts for $636,924. That company donated $3,200 to political campaigns while receiving the exemption."
102,3628560,Syosset Central School District,unified,059,280502,Nassau County Industrial Development Agency,82,16,12824730.65,9308637.84,9308637.77,3603997.27,3603997.27,0.07,213200492.0,6800.0,37916.36,257831270.0,0.0,1.6904,530.0,530.0,1.3978,5,24082.0,31.25,MOM REALTY II,1280122.36,0.0,01/28/2008,12/18/2006,Yes,No,Yes,Yes,"Syosset Central School District lost $3,603,997 in school property taxes because 82 IDA project(s) received exemptions. The largest beneficiary accounts for $1,280,122."
103,3608280,Copenhagen Central School District,unified,049,230201,Lewis County Industrial Development Agency,15,3,4860473.32,1340915.92,1340915.92,3525376.55,3525376.55,0.0,1806346.0,480.0,24969.84,11985523.0,0.0,195.1662,7344.53,7344.53,29.4136,0,0.0,0.0,COPENHAGEN WIND FARM,3524041.83,0.0,06/06/2013,09/01/2022,Yes,Yes,Yes,No,"Copenhagen Central School District lost $3,525,377 in school property taxes because 15 IDA project(s) received exemptions. The largest beneficiary accounts for $3,524,042."
104,3625050,Roslyn Union Free School District,unified,059,280403,Nassau County Industrial Development Agency,38,7,16438329.63,13254274.71,13461361.9,3432514.89,3432514.89,2561.11,101148675.0,3315.0,36846.21,122145193.0,0.0,3.3935,1035.45,1035.45,2.8102,2,7556.5,28.57,ROSLYN PLAZA HOUSING ASSOCIATES L P,1779752.59,0.0,03/12/2014,12/19/2017,Yes,No,Yes,No,"Roslyn Union Free School District lost $3,432,515 in school property taxes because 38 IDA project(s) received exemptions. The largest beneficiary accounts for $1,779,753."
105,3623280,Plattsburgh City School District,unified,019,091200,Clinton County Industrial Development Agency,25,3,4947710.1,1632331.66,1632331.66,3315378.44,3315378.44,0.0,24525714.0,1700.0,28413.6,48303122.0,0.0,13.518,1950.22,1950.22,6.8637,1,1350.0,33.33,MID AMERICAN HOLDING,2902992.46,0.0,02/08/2021,08/12/2019,Yes,Yes,Yes,No,"Plattsburgh City School District lost $3,315,378 in school property taxes because 25 IDA project(s) received exemptions. The largest beneficiary accounts for $2,902,992."
106,3610890,Fairport Central School District,unified,055,261301,Fairport Industrial Development Agency|Monroe Industrial Development Agency,108,21,6670123.85,3401619.04,3401619.04,3268504.81,3268504.81,0.0,82855681.0,5389.0,26733.49,144066754.0,0.0,3.9448,606.51,606.51,2.2687,1,38600.0,4.76,WHITNEY HOUSING I,861294.0,0.0,02/21/2012,12/01/2001,Yes,No,Yes,Yes,"Fairport Central School District lost $3,268,505 in school property taxes because 108 IDA project(s) received exemptions. The largest beneficiary accounts for $861,294."
107,3615630,Jamestown City School District,unified,013,061700,Chautauqua Industrial Development Agency,86,16,3865841.54,600839.36,600839.36,3265002.18,3265002.18,0.0,14991567.0,4500.0,20865.19,93893354.0,0.0,21.7789,725.56,725.56,3.4774,2,55417.0,12.5,HAMISTER GROUP,1804863.74,27450.0,01/23/2024,12/31/2012,Yes,Yes,Yes,Yes,"Jamestown City School District lost $3,265,002 in school property taxes because 86 IDA project(s) received exemptions. The largest beneficiary accounts for $1,804,864. That company donated $27,450 to political campaigns while receiving the exemption."
108,3630540,West Babylon Union Free School District,unified,103,580102,Babylon Industrial Development Agency,11,3,3988928.3,825174.64,825174.64,3163753.66,3163753.66,0.0,79762487.0,3670.0,33436.48,122711868.0,0.0,3.9665,862.06,862.06,2.5782,0,0.0,0.0,HSRE EB WEST BABYLON,3155894.66,0.0,03/09/2004,11/24/2008,Yes,No,Yes,No,"West Babylon Union Free School District lost $3,163,754 in school property taxes because 11 IDA project(s) received exemptions. The largest beneficiary accounts for $3,155,895."
109,3607530,Churchville-Chili Central School District,unified,055,261501,Monroe Industrial Development Agency,56,11,4494925.75,1380853.63,1380853.63,3114072.12,3114072.12,0.0,40051206.0,3768.0,25148.83,94760783.0,0.0,7.7752,826.45,826.45,3.2862,3,3200.0,27.27,AMERICAN PACKAGING CORPORATION,1012307.8,350.0,02/21/2017,10/15/2024,Yes,Yes,Yes,No,"Churchville-Chili Central School District lost $3,114,072 in school property taxes because 56 IDA project(s) received exemptions. The largest beneficiary accounts for $1,012,308. That company donated $350 to political campaigns while receiving the exemption."
110,3614400,Highland Central School District,unified,111,620803,Ulster County Industrial Development Agency,29,5,6750105.72,3647954.22,3647954.22,3102151.5,3102151.5,0.0,30636752.0,1647.0,29744.13,48988581.0,0.0,10.1256,1883.52,1883.52,6.3324,1,89500.76,20.0,CYNTHIA ROZENBERG,2950338.48,0.0,06/16/2021,10/31/2001,Yes,Yes,Yes,Yes,"Highland Central School District lost $3,102,152 in school property taxes because 29 IDA project(s) received exemptions. The largest beneficiary accounts for $2,950,338."
111,3604080,Bay Shore Union Free School District,unified,103,580501,Islip Industrial Development Agency,58,11,7208838.16,4135939.49,4135939.49,3083690.75,3083690.75,0.0,115360073.0,5700.0,31797.14,181243677.0,0.0,2.6731,541.0,541.0,1.7014,6,15047.0,54.55,PARK AVENUE BAY SHORE,931097.05,0.0,04/16/2019,11/19/2024,Yes,No,Yes,Yes,"Bay Shore Union Free School District lost $3,083,691 in school property taxes because 58 IDA project(s) received exemptions. The largest beneficiary accounts for $931,097."
112,3628500,Sweet Home Central School District,unified,029,140207,Amherst Industrial Development Agency|Clarence Industrial Development Agency|Lancaster Industrial Development Agency,91,21,7278516.1,4244997.0,4244997.0,3033519.1,3033519.1,0.0,53321588.0,3405.0,26241.29,89351588.0,0.0,5.6891,890.9,890.9,3.395,7,127999.79,33.33,RAS DEVELOPMENT,737935.0,210.0,01/01/2002,12/17/2021,Yes,Yes,Yes,Yes,"Sweet Home Central School District lost $3,033,519 in school property taxes because 91 IDA project(s) received exemptions. The largest beneficiary accounts for $737,935. That company donated $210 to political campaigns while receiving the exemption."
113,3613740,Harrison Central School District,unified,119,660501,Westchester County Industrial Development Agency,21,3,12358199.0,9500890.0,9500890.0,2857309.0,2857309.0,0.0,116318296.0,3615.0,36047.43,130311477.0,0.0,2.4565,790.4,790.4,2.1927,0,0.0,0.0,PEPSICO AND DAVLYN REALTY CORPORATION,2638307.0,0.0,05/21/2019,11/29/2011,Yes,No,Yes,No,"Harrison Central School District lost $2,857,309 in school property taxes because 21 IDA project(s) received exemptions. The largest beneficiary accounts for $2,638,307."
114,3627060,Smithtown Central School District,unified,103,580801,Nassau County Industrial Development Agency|Suffolk County Industrial Development Agency,34,6,5810534.37,2978740.18,2978740.18,2832839.19,2832839.19,0.0,207439293.0,7644.0,35032.3,267786882.0,0.0,1.3656,370.6,370.6,1.0579,1,5750.0,16.67,AMBER COURT OF SMITHTOWN REALTY,1784458.24,0.0,01/29/2015,12/19/2019,Yes,No,No,No,"Smithtown Central School District lost $2,832,839 in school property taxes because 34 IDA project(s) received exemptions. The largest beneficiary accounts for $1,784,458."
115,3623460,Port Chester-Rye Union Free School District,unified,119,661904,Port Chester Industrial Development Agency,41,12,4734982.47,1939902.56,1939902.56,2795079.91,2795079.91,0.0,69778540.0,4741.0,26573.08,125982994.0,0.0,4.0056,589.55,589.55,2.2186,3,14440.33,25.0,KINGSPORT APARTMENTS,1904169.99,0.0,01/10/2018,12/23/2004,Yes,No,Yes,Yes,"Port Chester-Rye Union Free School District lost $2,795,080 in school property taxes because 41 IDA project(s) received exemptions. The largest beneficiary accounts for $1,904,170."
116,3620910,North Babylon Union Free School District,unified,103,580103,Babylon Industrial Development Agency|Suffolk County Industrial Development Agency,13,2,3954130.42,1219724.69,1219724.69,2777215.8,2777215.8,0.0,70644518.0,4612.0,28132.76,129748302.0,0.0,3.9313,602.17,602.17,2.1405,1,8500.0,50.0,BELMONT VILLAS,2422766.15,0.0,02/27/2003,05/22/2019,Yes,No,Yes,No,"North Babylon Union Free School District lost $2,777,216 in school property taxes because 13 IDA project(s) received exemptions. The largest beneficiary accounts for $2,422,766."
117,3618660,Massena Central School District,unified,089,512001,Franklin County Industrial Development Agency|St. Lawrence County Industrial Development Agency,23,4,5335812.56,2792400.84,2792173.84,2543638.72,2543638.72,227.0,14831697.0,2412.0,26461.5,63825147.0,0.0,17.15,1054.58,1054.58,3.9853,2,5150.0,50.0,ST LAWRENCE GAS,1510968.77,3650.0,02/20/2007,11/19/2009,Yes,Yes,Yes,No,"Massena Central School District lost $2,543,639 in school property taxes because 23 IDA project(s) received exemptions. The largest beneficiary accounts for $1,510,969. That company donated $3,650 to political campaigns while receiving the exemption."
118,3621780,Oneonta City School District,unified,077,471400,Otsego County Industrial Development Agency,57,9,5023910.27,2521438.7,2521438.7,2507296.57,2507296.57,0.0,22294864.0,1620.0,26087.91,42262416.0,0.0,11.2461,1547.71,1547.71,5.9327,3,45320.0,33.33,HILLSIDE COMMONS ONEONTA,1954735.0,0.0,02/01/2013,12/06/2007,Yes,Yes,Yes,Yes,"Oneonta City School District lost $2,507,297 in school property taxes because 57 IDA project(s) received exemptions. The largest beneficiary accounts for $1,954,735."
119,3617670,Lockport City School District,unified,063,400400,Niagara County Industrial Development Agency|Town of Lockport Industrial Development Agency,180,38,4865844.02,2825344.16,2442070.16,2423773.86,2423773.86,383274.0,41500286.0,4153.0,27403.71,113807593.0,0.0,5.8404,583.62,583.62,2.1297,16,166179.17,42.11,RAMESH PATEL,423650.0,5250.0,02/12/2020,11/20/2014,Yes,Yes,Yes,Yes,"Lockport City School District lost $2,423,774 in school property taxes because 180 IDA project(s) received exemptions. The largest beneficiary accounts for $423,650. That company donated $5,250 to political campaigns while receiving the exemption."
120,3628650,Union Free School District of the Tarrytowns,unified,119,,Mount Pleasant Industrial Development Agency|Westchester County Industrial Development Agency,76,6,21289907.44,23880418.48,23880417.48,2409182.87,2409182.87,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,25000.0,16.67,REGENERON PHARMACEUTICALS,1316497.87,0.0,01/28/2016,12/04/2003,No,No,No,Yes,"Union Free School District of the Tarrytowns lost $2,409,183 in school property taxes because 76 IDA project(s) received exemptions. The largest beneficiary accounts for $1,316,498."
121,3602340,South Jefferson Central School District,unified,045,220101,Jefferson Industrial Development Agency,8,1,2767028.15,368366.82,368366.82,2398661.33,2398661.33,0.0,8390000.0,1867.0,20934.11,39083979.0,0.0,28.5895,1284.77,1284.77,6.1372,1,1950.0,100.0,GREAT LAKES CHEESE,2398661.33,1950.0,02/07/2008,02/07/2008,Yes,Yes,Yes,No,"South Jefferson Central School District lost $2,398,661 in school property taxes because 8 IDA project(s) received exemptions. The largest beneficiary accounts for $2,398,661. That company donated $1,950 to political campaigns while receiving the exemption."
122,3602370,Addison Central School District,unified,101,570101,Steuben County Industrial Development Agency,22,4,5172014.75,2793744.98,2793744.98,2378269.77,2378269.77,0.0,7344160.0,1064.0,32613.1,34700337.0,0.0,32.3831,2235.22,2235.22,6.8537,3,187958.0,75.0,CORNING INCORPORATED,2119867.24,137133.0,06/20/2013,10/24/2002,Yes,Yes,Yes,Yes,"Addison Central School District lost $2,378,270 in school property taxes because 22 IDA project(s) received exemptions. The largest beneficiary accounts for $2,119,867. That company donated $137,133 to political campaigns while receiving the exemption."
123,3607380,Chester Union Free School District,unified,071,440201,Orange County Industrial Development Agency,35,6,5931212.57,3640585.36,3640585.36,2298163.28,2298163.28,0.0,19329421.0,961.0,34320.02,32981536.0,0.0,11.8895,2391.43,2391.43,6.968,1,1050.0,16.67,HUDSON TRANSIT LINES,747403.33,0.0,02/01/2013,11/18/2009,Yes,Yes,Yes,No,"Chester Union Free School District lost $2,298,163 in school property taxes because 35 IDA project(s) received exemptions. The largest beneficiary accounts for $747,403."
124,3615540,Islip Union Free School District,unified,103,580502,Islip Industrial Development Agency,29,4,5034673.21,2805834.41,2805834.41,2228838.8,2228838.8,0.0,64352633.0,2690.0,33992.27,91439213.0,0.0,3.4635,828.56,828.56,2.4375,1,161853.0,25.0,COOKIES UNITED UNITED BAKING,1560409.34,0.0,02/14/2012,10/14/2014,Yes,No,Yes,Yes,"Islip Union Free School District lost $2,228,839 in school property taxes because 29 IDA project(s) received exemptions. The largest beneficiary accounts for $1,560,409."
125,3610620,Elmont Union Free School District,elementary,059,280216,Hempstead Industrial Development Agency|Nassau County Industrial Development Agency,9,2,3134160.92,939090.23,942520.09,2204994.86,2204994.86,0.0,56623190.0,3200.0,30792.52,98536050.0,0.0,3.8942,689.06,689.06,2.2378,0,0.0,0.0,HPFVIII ELMONT,2204994.86,0.0,04/10/2014,05/21/2024,Yes,No,Yes,No,"Elmont Union Free School District lost $2,204,995 in school property taxes because 9 IDA project(s) received exemptions. The largest beneficiary accounts for $2,204,995."
126,3630780,West Seneca Central School District,unified,029,142801,Erie County Industrial Development Agency,73,18,4100869.47,1900064.04,1900064.04,2200805.43,2200805.43,0.0,66970883.0,5957.0,23279.5,138676004.0,0.0,3.2862,369.45,369.45,1.587,8,204021.0,44.44,ROSINA FOOD PRODUCTS,966721.81,12938.0,01/13/1993,11/12/2003,Yes,No,No,Yes,"West Seneca Central School District lost $2,200,805 in school property taxes because 73 IDA project(s) received exemptions. The largest beneficiary accounts for $966,722. That company donated $12,938 to political campaigns while receiving the exemption."
127,3629610,Vestal Central School District,unified,007,031601,Broome Industrial Development Agency,37,11,11572465.18,10748603.64,10748703.64,2172340.78,2172340.78,0.0,49700916.0,3314.0,26103.75,86507841.0,0.0,4.3708,655.5,655.5,2.5111,4,65452.32,36.36,UPSTATE SK,1721662.89,0.0,01/17/2024,12/18/2024,Yes,No,Yes,Yes,"Vestal Central School District lost $2,172,341 in school property taxes because 37 IDA project(s) received exemptions. The largest beneficiary accounts for $1,721,663."
128,3627240,South Glens Falls Central School District,unified,091,521401,Glens Falls Industrial Development Agency|Saratoga County Industrial Development Agency,15,2,2607351.16,449748.35,449748.35,2157602.81,2157602.81,0.0,33504727.0,2938.0,22102.04,64935782.0,0.0,6.4397,734.38,734.38,3.3227,0,0.0,0.0,ACE HARDWARE CORPORATION,1262320.28,0.0,06/08/2015,09/10/2015,Yes,Yes,Yes,No,"South Glens Falls Central School District lost $2,157,603 in school property taxes because 15 IDA project(s) received exemptions. The largest beneficiary accounts for $1,262,320."
129,3623880,Pulaski Central School District,unified,075,461801,Oswego County Industrial Development Agency,53,8,4307855.0,2206918.0,2206918.0,2125509.0,2125509.0,0.0,7262376.0,991.0,29181.63,28919000.0,0.0,29.2674,2144.81,2144.81,7.3499,1,4323.0,12.5,FULTON THERMAL CORPORATION,1338162.0,0.0,04/16/2009,11/30/2011,Yes,Yes,Yes,No,"Pulaski Central School District lost $2,125,509 in school property taxes because 53 IDA project(s) received exemptions. The largest beneficiary accounts for $1,338,162."
